광역자치단체명,선거구,선거구 설명,기호,정당명,후보자명(한글),후보자명(한자),득표수,득표율,순위,당선여부,중도탈락여부,전체유권자수,전체투표수,전체무효표수
경기도,화성시 병,"병점1동, 병점2동, 동탄3동, 진안동, 반월동, 기배동, 화산동, 봉담읍 [31]",1,더불어민주당,권칠승,權七勝,88793,64.45,1.0,True,False,219651,139281,1512
경기도,화성시 병,"병점1동, 병점2동, 동탄3동, 진안동, 반월동, 기배동, 화산동, 봉담읍 [31]",2,미래통합당,석호현,石虎鉉,47377,34.38,2.0,False,False,219651,139281,1512
경기도,화성시 병,"병점1동, 병점2동, 동탄3동, 진안동, 반월동, 기배동, 화산동, 봉담읍 [31]",7,국가혁명배당금당,김지완,金祗妧,1599,1.16,3.0,False,False,219651,139281,1512
경기도,광주시 갑,"경안동, 송정동, 광남동, 퇴촌면, 남종면, 남한산성면",1,더불어민주당,소병훈,蘇秉勳,53221,56.14,1.0,True,False,156890,95752,968
경기도,광주시 갑,"경안동, 송정동, 광남동, 퇴촌면, 남종면, 남한산성면",2,미래통합당,조억동,趙億東,40469,42.69,2.0,False,False,156890,95752,968
경기도,광주시 갑,"경안동, 송정동, 광남동, 퇴촌면, 남종면, 남한산성면",7,국가혁명배당금당,엄태영,嚴泰榮,1094,1.15,3.0,False,False,156890,95752,968
경기도,광주시 을,"오포읍, 초월읍, 곤지암읍, 도척면",1,더불어민주당,임종성,林鍾聲,52468,56.88,1.0,True,False,155614,93174,932
경기도,광주시 을,"오포읍, 초월읍, 곤지암읍, 도척면",2,미래통합당,이종구,李鍾九,38910,42.18,2.0,False,False,155614,93174,932
경기도,광주시 을,"오포읍, 초월읍, 곤지암읍, 도척면",7,국가혁명배당금당,한옥현,韓玉炫,864,0.93,3.0,False,False,155614,93174,932
경기도,양주시,양주시 일원 [32],1,더불어민주당,정성호,鄭成湖,69905,62.64,1.0,True,False,184804,112865,1276
경기도,양주시,양주시 일원 [32],2,미래통합당,안기영,安基榮,40414,36.21,2.0,False,False,184804,112865,1276
경기도,양주시,양주시 일원 [32],7,국가혁명배당금당,최일선,崔壹善,1270,1.13,3.0,False,False,184804,112865,1276
경기도,포천시·가평군,"포천시 일원 [33] , 가평군 일원 [34]",1,더불어민주당,이철휘,李哲徽,50875,46.68,2.0,False,False,183991,110811,1832
경기도,포천시·가평군,"포천시 일원 [33] , 가평군 일원 [34]",2,미래통합당,최춘식,崔春植,54771,50.25,1.0,True,False,183991,110811,1832
경기도,포천시·가평군,"포천시 일원 [33] , 가평군 일원 [34]",7,민중당,이명원,李明原,2092,1.91,3.0,False,False,183991,110811,1832
경기도,포천시·가평군,"포천시 일원 [33] , 가평군 일원 [34]",8,국가혁명배당금당,원승헌,元勝憲,1241,1.13,4.0,False,False,183991,110811,1832
경기도,여주시·양평군,"여주시 일원 [35] , 양평군 일원 [36]",1,더불어민주당,최재관,崔在寬,51574,40.17,2.0,False,False,197505,129856,1488
경기도,여주시·양평군,"여주시 일원 [35] , 양평군 일원 [36]",2,미래통합당,김선교,金善敎,70575,54.97,1.0,True,False,197505,129856,1488
경기도,여주시·양평군,"여주시 일원 [35] , 양평군 일원 [36]",6,정의당,유상진,兪祥震,4574,3.56,3.0,False,False,197505,129856,1488
경기도,여주시·양평군,"여주시 일원 [35] , 양평군 일원 [36]",7,우리공화당,변성근,邊成根,750,0.58,5.0,False,False,197505,129856,1488
경기도,여주시·양평군,"여주시 일원 [35] , 양평군 일원 [36]",8,국가혁명배당금당,김미화,金美花,895,0.69,4.0,False,False,197505,129856,1488
강원도,춘천시·철원군·화천군·양구군 갑,"춘천시 신사우동, 신북읍, 사북면, 북산면, 동면, 서면을 제외한 지역 [1]",1,더불어민주당,허영,許榮,66932,51.32,1.0,True,False,192353,131779,1369
강원도,춘천시·철원군·화천군·양구군 갑,"춘천시 신사우동, 신북읍, 사북면, 북산면, 동면, 서면을 제외한 지역 [1]",2,미래통합당,김진태,金鎭台,57298,43.93,2.0,False,False,192353,131779,1369
강원도,춘천시·철원군·화천군·양구군 갑,"춘천시 신사우동, 신북읍, 사북면, 북산면, 동면, 서면을 제외한 지역 [1]",6,정의당,엄재철,嚴在鐵,5339,4.09,3.0,False,False,192353,131779,1369
강원도,춘천시·철원군·화천군·양구군 갑,"춘천시 신사우동, 신북읍, 사북면, 북산면, 동면, 서면을 제외한 지역 [1]",7,국가혁명배당금당,한준모,韓寯模,841,0.64,4.0,False,False,192353,131779,1369
강원도,춘천시·철원군·화천군·양구군 을,"춘천시 신사우동, 신북읍, 사북면, 북산면, 동면, 서면 + 철원군 일원 [2] , 화천군 일원 [3] , 양구군 일원 [4]",1,더불어민주당,정만호,鄭萬昊,38352,46.35,2.0,False,False,125459,84432,1701
강원도,춘천시·철원군·화천군·양구군 을,"춘천시 신사우동, 신북읍, 사북면, 북산면, 동면, 서면 + 철원군 일원 [2] , 화천군 일원 [3] , 양구군 일원 [4]",2,미래통합당,한기호,韓起鎬,43083,52.07,1.0,True,False,125459,84432,1701
강원도,춘천시·철원군·화천군·양구군 을,"춘천시 신사우동, 신북읍, 사북면, 북산면, 동면, 서면 + 철원군 일원 [2] , 화천군 일원 [3] , 양구군 일원 [4]",7,국가혁명배당금당,유우림,柳佑林,1296,1.56,3.0,False,False,125459,84432,1701
강원도,원주시 갑,"태장1동, 태장2동, 중앙동, 원인동, 일산동, 학성동, 단계동, 우산동, 무실동, 문막읍, 호저면, 지정면, 부론면",1,더불어민주당,이광재,李光宰,45224,48.56,1.0,True,False,152303,94018,902
강원도,원주시 갑,"태장1동, 태장2동, 중앙동, 원인동, 일산동, 학성동, 단계동, 우산동, 무실동, 문막읍, 호저면, 지정면, 부론면",2,미래통합당,박정하,朴正河,38299,41.13,2.0,False,False,152303,94018,902
강원도,원주시 갑,"태장1동, 태장2동, 중앙동, 원인동, 일산동, 학성동, 단계동, 우산동, 무실동, 문막읍, 호저면, 지정면, 부론면",7,우리공화당,이강범,李康範,473,0.5,5.0,False,False,152303,94018,902
강원도,원주시 갑,"태장1동, 태장2동, 중앙동, 원인동, 일산동, 학성동, 단계동, 우산동, 무실동, 문막읍, 호저면, 지정면, 부론면",8,국가혁명배당금당,정상균,鄭上均,489,0.52,4.0,False,False,152303,94018,902
강원도,원주시 갑,"태장1동, 태장2동, 중앙동, 원인동, 일산동, 학성동, 단계동, 우산동, 무실동, 문막읍, 호저면, 지정면, 부론면",9,무소속,권성중,權成重,8631,9.26,3.0,False,False,152303,94018,902
강원도,원주시 을,"명륜1동, 명륜2동, 개운동, 단구동, 봉산동, 행구동, 반곡관설동, 소초면, 흥업면, 판부면, 신림면",1,더불어민주당,송기헌,宋基憲,48772,53.88,1.0,True,False,141827,91625,1116
강원도,원주시 을,"명륜1동, 명륜2동, 개운동, 단구동, 봉산동, 행구동, 반곡관설동, 소초면, 흥업면, 판부면, 신림면",2,미래통합당,이강후,李康厚,39089,43.18,2.0,False,False,141827,91625,1116
강원도,원주시 을,"명륜1동, 명륜2동, 개운동, 단구동, 봉산동, 행구동, 반곡관설동, 소초면, 흥업면, 판부면, 신림면",3,민생당,안재윤,安在潤,772,0.85,4.0,False,False,141827,91625,1116
강원도,원주시 을,"명륜1동, 명륜2동, 개운동, 단구동, 봉산동, 행구동, 반곡관설동, 소초면, 흥업면, 판부면, 신림면",7,우리공화당,현진섭,玄鎭涉,458,0.5,6.0,False,False,141827,91625,1116
강원도,원주시 을,"명륜1동, 명륜2동, 개운동, 단구동, 봉산동, 행구동, 반곡관설동, 소초면, 흥업면, 판부면, 신림면",8,민중당,이승재,李承宰,777,0.85,3.0,False,False,141827,91625,1116
강원도,원주시 을,"명륜1동, 명륜2동, 개운동, 단구동, 봉산동, 행구동, 반곡관설동, 소초면, 흥업면, 판부면, 신림면",9,국가혁명배당금당,정성호,鄭成皓,641,0.7,5.0,False,False,141827,91625,1116
강원도,강릉시,강릉시 일원 [6],1,더불어민주당,김경수,金敬洙,47088,38.76,2.0,False,False,184371,122855,1381
강원도,강릉시,강릉시 일원 [6],2,미래통합당,홍윤식,洪允植,13704,11.28,3.0,False,False,184371,122855,1381
강원도,강릉시,강릉시 일원 [6],7,민중당,장지창,張志彰,1047,0.86,5.0,False,False,184371,122855,1381
강원도,강릉시,강릉시 일원 [6],8,국가혁명배당금당,전혁,全爀,659,0.54,6.0,False,False,184371,122855,1381
강원도,강릉시,강릉시 일원 [6],9,무소속,최명희,崔明熙,9358,7.7,4.0,False,False,184371,122855,1381
강원도,강릉시,강릉시 일원 [6],10,무소속,권성동,權性東,49618,40.84,1.0,True,False,184371,122855,1381
